N�	T� Transcurrido	Fuerza
1	2:34.089	168
2	2:34.389	143
12	2:34.745	157
5	2:34.874	126
101	2:34.971	159
4	2:35.018	133
11	2:36.619	98
102	2:36.703	77
116	2:36.784	111
115	2:37.938	128
103	2:39.433	163
118	2:40.625	150
110	2:40.781	110
112	2:43.037	174
7	2:54.323	92
109	3:04.972	129
106	3:09.780	143
105	3:10.454	112
108	3:13.845	122
107	3:14.341	128
104	3:17.580	125
111	3:18.261	128
114	3:18.637	104
1	5:04.056	169
2	5:04.317	140
101	5:04.808	160
12	5:04.882	158
4	5:05.085	131
5	5:05.690	128
11	5:06.356	89
118	5:06.866	157
116	5:06.984	107
102	5:07.271	86
115	5:07.439	128
110	5:10.477	108
103	5:12.898	162
112	5:14.840	172
7	5:31.288	92
109	5:38.728	129
105	5:50.471	111
104	5:57.688	124
106	6:00.696	141
111	6:01.089	128
108	6:04.395	121
107	6:05.179	128
114	6:08.058	103
1	7:34.079	169
2	7:34.417	142
12	7:34.517	157
5	7:34.931	127
101	7:35.044	158
4	7:35.347	130
11	7:35.803	94
116	7:36.592	111
102	7:36.816	79
118	7:36.823	155
115	7:37.052	130
110	7:40.863	112
112	7:43.157	172
103	7:46.600	162
7	8:08.272	92
109	8:13.610	131
105	8:30.851	111
104	8:38.409	124
111	8:41.149	124
106	8:51.460	141
108	8:54.765	123
107	8:55.362	129
114	8:59.357	101
1	10:04.156	168
2	10:04.446	139
101	10:04.950	160
12	10:05.029	159
5	10:05.250	130
4	10:05.666	128
11	10:05.775	89
102	10:06.579	79
116	10:07.667	105
115	10:08.788	128
118	10:08.802	156
110	10:12.489	114
112	10:14.199	172
103	10:20.866	162
7	10:45.411	91
109	10:49.852	130
105	11:10.678	109
104	11:18.988	124
111	11:22.071	124
106	11:41.662	142
107	11:44.666	129
108	11:45.411	122
114	11:49.065	103
1	12:34.170	163
2	12:34.456	138
12	12:34.621	159
101	12:34.950	161
4	12:35.204	130
5	12:35.303	129
11	12:35.565	87
102	12:36.068	81
116	12:37.164	113
115	12:37.230	128
118	12:38.643	155
110	12:42.764	111
112	12:42.966	170
103	12:54.888	163
7	13:22.306	93
109	13:25.027	132
105	13:50.013	110
104	13:58.744	125
111	14:02.467	125
106	14:32.314	141
107	14:34.526	128
108	14:35.037	122
114	14:38.357	100
2	15:04.231	137
1	15:04.501	168
12	15:04.810	156
101	15:04.981	159
5	15:05.041	126
4	15:05.251	130
11	15:05.399	87
102	15:06.290	80
116	15:06.924	114
115	15:07.301	130
118	15:07.829	156
112	15:12.374	171
110	15:13.861	106
103	15:29.602	162
7	15:59.055	93
109	16:01.599	131
105	16:30.050	112
104	16:38.390	126
111	16:42.937	127
106	17:21.898	141
107	17:25.065	128
108	17:25.750	122
114	17:28.682	103
2	17:34.246	138
12	17:34.398	156
1	17:34.534	168
101	17:34.889	159
4	17:35.137	129
5	17:35.323	124
11	17:35.358	98
102	17:36.316	80
116	17:37.014	110
118	17:37.287	155
115	17:37.594	128
112	17:41.748	174
110	17:45.266	106
103	18:03.758	161
7	18:36.125	92
109	18:36.571	134
105	19:10.444	109
104	19:18.410	123
111	19:22.646	124
2	20:04.291	139
1	20:04.796	169
101	20:04.974	160
11	20:05.405	97
12	20:05.500	156
5	20:05.634	125
4	20:05.761	131
116	20:06.759	111
102	20:06.940	80
118	20:08.578	156
115	20:09.159	129
106	20:11.342	141
112	20:12.722	171
108	20:14.504	123
107	20:15.541	127
110	20:15.725	111
114	20:18.488	102
103	20:37.863	162
109	21:11.322	133
7	21:13.148	94
105	21:50.468	109
104	21:58.949	127
111	22:02.956	124
2	22:34.279	139
12	22:34.812	159
1	22:34.857	163
101	22:34.969	157
11	22:35.504	94
5	22:35.523	127
4	22:35.641	130
102	22:36.481	79
116	22:36.784	109
118	22:36.905	159
115	22:38.333	130
112	22:42.205	177
110	22:46.925	108
106	23:02.645	141
107	23:05.836	129
108	23:06.077	121
114	23:08.728	102
103	23:12.142	162
109	23:46.569	132
7	23:50.098	95
105	24:30.167	110
104	24:39.243	128
111	24:43.084	127
2	25:03.930	141
1	25:04.799	164
101	25:04.991	159
