N�	T� Transcurrido	Fuerza
1	2:25.075	169
2	2:25.831	138
5	2:26.326	126
12	2:27.582	161
6	2:30.485	149
3	2:30.559	137
10	2:30.716	163
7	2:33.257	100
14	2:33.939	126
4	2:35.363	130
11	2:36.599	88
1	4:50.130	168
2	4:50.695	140
5	4:51.570	127
12	4:52.740	159
10	4:55.741	162
6	4:56.243	149
3	4:56.317	139
14	4:58.382	124
7	4:58.515	99
4	5:00.439	132
11	5:01.683	88
1	7:15.366	169
2	7:15.803	141
5	7:17.334	125
12	7:17.896	158
10	7:20.852	163
3	7:21.382	138
6	7:21.756	150
7	7:23.159	103
14	7:23.811	126
4	7:25.701	132
11	7:26.463	89
	9:39.666	
1	9:40.422	168
2	9:40.829	141
5	9:41.852	125
12	9:42.806	158
10	9:46.160	163
3	9:46.341	136
6	9:46.480	149
14	9:47.845	130
7	9:48.037	93
4	9:50.429	131
11	9:51.542	87
	11:35.048	
