N�	T� Transcurrido	Fuerza
206	1:04.251	172
203	1:10.954	162
211	1:15.113	160
205	1:19.745	166
204	1:27.616	136
202	1:35.715	120
102	2:30.755	83
110	2:31.969	110
109	2:37.224	130
53	2:44.826	163
52	2:50.010	80
111	2:52.348	126
201	3:15.270	128
210	3:19.894	168
207	3:22.882	163
208	3:24.520	163
209	3:27.995	151
206	3:49.110	172
203	3:53.371	162
211	3:55.823	161
205	3:58.960	168
204	4:13.935	137
202	4:15.245	131
102	5:01.068	82
110	5:03.894	105
109	5:11.135	130
53	5:27.576	163
111	5:32.065	125
52	5:34.928	81
201	5:55.477	126
207	5:59.686	162
210	6:00.127	169
208	6:00.463	161
209	6:04.449	152
206	6:34.024	172
203	6:34.209	160
211	6:35.038	158
205	6:38.506	167
202	6:55.623	127
204	6:57.658	138
102	7:31.251	81
110	7:34.571	103
109	7:41.247	131
53	8:10.515	163
111	8:12.596	123
52	8:19.861	83
208	8:35.421	165
201	8:36.229	129
207	8:37.069	162
209	8:40.449	151
210	8:40.949	167
203	9:15.107	162
211	9:15.209	158
205	9:18.813	166
206	9:19.425	170
202	9:35.632	116
204	9:43.786	138
102	10:01.132	81
110	10:06.407	101
109	10:15.738	132
111	10:52.582	126
53	10:53.713	161
52	11:04.121	80
208	11:08.992	163
207	11:12.561	163
209	11:15.696	153
201	11:16.416	123
210	11:21.329	167
211	11:53.790	165
203	11:54.004	165
205	11:58.272	168
206	12:04.774	169
202	12:15.618	128
204	12:28.001	138
102	12:31.313	83
110	12:38.831	105
109	12:50.227	130
111	13:32.547	124
53	13:36.524	162
208	13:44.387	162
207	13:48.165	165
52	13:48.692	79
209	13:51.535	152
201	13:56.328	129
210	14:02.042	169
211	14:33.713	159
203	14:34.866	161
205	14:37.436	168
206	14:49.788	173
202	14:55.579	130
102	15:01.601	82
110	15:12.346	102
204	15:14.746	135
109	15:26.355	129
111	16:12.749	125
208	16:19.114	165
53	16:20.279	162
207	16:24.324	162
209	16:26.196	151
52	16:32.438	80
201	16:36.290	128
210	16:42.568	166
211	17:12.946	161
203	17:14.403	165
205	17:16.904	168
102	17:31.500	82
206	17:35.164	170
202	17:35.705	126
110	17:43.448	104
204	18:01.995	137
109	18:02.513	130
111	18:52.715	124
208	18:53.158	167
207	19:00.391	164
209	19:01.360	155
53	19:03.801	159
201	19:16.456	123
52	19:16.670	88
210	19:23.109	166
211	19:51.652	166
203	19:55.011	160
205	19:56.692	164
102	20:01.399	79
202	20:15.923	119
110	20:17.423	101
206	20:19.959	170
109	20:37.975	130
208	21:28.373	163
111	21:33.077	126
209	21:36.377	158
207	21:36.625	163
53	21:47.048	162
201	21:56.454	126
52	22:00.777	79
210	22:03.788	169
211	22:30.810	165
102	22:31.338	82
203	22:34.088	163
205	22:36.304	169
110	22:47.480	102
202	22:55.595	132
206	23:06.175	168
109	23:14.124	130
208	24:04.236	162
209	24:12.490	151
111	24:12.887	126
207	24:12.982	163
53	24:30.271	162
201	24:36.430	126
210	24:44.589	167
52	24:45.609	97
102	25:01.107	82
211	25:09.951	165
203	25:13.641	165
205	25:16.758	164
110	25:24.128	102
202	25:35.626	130
109	25:49.938	129
206	25:51.691	169
208	26:39.366	162
209	26:46.224	154
207	26:48.787	163
111	26:53.067	124
53	27:13.457	160
201	27:16.569	127
210	27:25.654	169
52	27:29.531	84
102	27:30.856	80
211	27:49.420	160
203	27:53.880	163
110	27:55.248	107
205	27:57.377	164
202	28:15.723	130
109	28:25.623	129
206	28:36.712	170
208	29:14.582	162
209	29:21.015	157
207	29:24.748	163
111	29:33.050	125
201	29:56.622	122
53	29:56.740	163
102	30:00.775	80
	30:02.349	
210	30:07.218	165
52	30:17.377	79
211	30:28.931	165
110	30:29.326	103
203	30:33.925	162
205	30:37.141	165
202	30:55.984	130
109	31:00.646	129
206	31:21.760	168
208	31:49.991	164
209	31:55.741	152
207	32:01.207	164
111	32:12.996	124
102	32:30.779	80
201	32:36.721	125
53	32:40.369	160
