N�	T� Transcurrido	Fuerza
10	2:25.331	163
2	2:25.795	136
1	2:25.892	168
3	2:26.148	140
4	2:26.980	134
11	2:27.108	90
5	2:27.957	128
7	2:28.399	100
14	2:30.171	127
9	2:30.904	122
6	2:31.530	144
12	2:32.174	156
10	4:50.334	163
2	4:50.916	139
1	4:50.988	169
3	4:52.020	139
4	4:52.068	131
11	4:52.293	91
5	4:53.166	126
7	4:53.933	98
14	4:54.964	129
9	4:57.063	122
6	4:57.122	146
12	4:57.661	157
10	7:15.708	163
1	7:16.168	169
2	7:16.447	136
3	7:17.018	138
11	7:17.427	100
4	7:17.575	132
5	7:19.206	127
7	7:19.410	99
14	7:20.607	127
6	7:22.420	147
12	7:22.789	158
9	7:22.950	113
10	9:41.118	162
2	9:41.290	142
1	9:41.479	166
3	9:42.592	141
11	9:42.677	88
4	9:42.998	132
5	9:43.841	129
7	9:44.267	102
14	9:45.373	128
6	9:48.032	145
9	9:48.062	122
12	9:48.535	158
10	12:06.513	163
2	12:06.799	139
1	12:06.805	168
11	12:08.134	86
3	12:08.196	141
4	12:08.355	131
5	12:09.662	127
7	12:10.213	99
14	12:10.608	127
6	12:13.410	144
9	12:13.509	121
12	12:13.773	159
2	14:32.005	140
1	14:32.091	169
10	14:32.238	163
11	14:33.283	86
3	14:33.371	141
4	14:33.970	131
5	14:35.163	128
7	14:35.352	100
14	14:35.729	128
9	14:38.233	121
6	14:38.545	147
12	14:38.980	157
2	16:57.361	137
1	16:57.444	168
10	16:57.727	162
11	16:58.631	86
3	16:58.660	142
4	16:59.448	130
14	17:00.531	129
7	17:00.905	97
5	17:01.176	126
12	17:03.835	158
6	17:04.063	145
9	17:04.137	122
2	19:22.590	140
1	19:22.743	167
10	19:23.034	163
11	19:23.703	90
3	19:23.809	140
4	19:24.677	132
14	19:26.262	124
5	19:26.411	125
7	19:26.724	98
9	19:28.961	113
12	19:29.439	158
6	19:29.531	146
2	21:47.714	142
1	21:48.085	168
10	21:48.447	163
3	21:49.133	141
11	21:49.379	92
4	21:50.081	131
14	21:50.582	128
5	21:51.628	126
7	21:52.067	101
9	21:53.645	113
6	21:54.545	148
12	21:54.605	158
1	24:13.183	165
2	24:13.280	139
10	24:13.870	164
3	24:14.426	135
11	24:14.924	88
14	24:15.385	127
4	24:15.575	131
5	24:17.111	127
7	24:17.320	98
6	24:20.179	145
12	24:20.421	158
9	24:20.619	113
1	26:38.274	169
2	26:38.526	139
10	26:39.696	162
3	26:39.735	139
11	26:40.048	94
4	26:41.183	132
14	26:41.929	125
5	26:42.401	126
7	26:42.843	98
12	26:45.210	158
6	26:45.484	148
9	26:45.690	112
1	29:03.420	167
2	29:03.752	141
3	29:05.270	140
10	29:05.399	164
11	29:05.511	93
4	29:06.554	132
14	29:07.045	124
5	29:08.223	125
7	29:08.433	100
6	29:10.840	146
12	29:11.021	158
9	29:11.638	113
1	31:29.052	167
2	31:29.069	139
3	31:30.629	137
10	31:30.763	164
11	31:30.847	90
4	31:32.108	130
14	31:32.433	124
5	31:33.267	125
7	31:33.861	99
12	31:36.433	158
6	31:36.545	146
9	31:37.317	112
1	33:54.053	167
2	33:54.316	139
10	33:55.933	163
3	33:56.144	139
11	33:56.409	93
14	33:56.640	130
4	33:57.868	132
5	33:58.524	126
7	33:59.209	102
12	34:02.138	158
6	34:02.393	147
9	34:03.268	112
1	36:19.402	168
2	36:20.000	139
3	36:21.394	140
11	36:21.806	96
10	36:22.134	165
14	36:22.620	126
4	36:23.551	132
5	36:23.870	126
7	36:24.486	101
12	36:27.707	158
6	36:28.097	146
9	36:29.237	113
1	38:44.564	166
2	38:45.183	139
3	38:46.823	139
11	38:47.274	93
10	38:47.419	162
14	38:47.973	123
4	38:48.896	130
5	38:49.362	126
7	38:49.744	100
6	38:53.271	148
12	38:53.681	158
9	38:54.560	113
1	41:09.889	168
2	41:10.330	138
3	41:12.236	140
11	41:12.401	91
10	41:12.918	163
14	41:13.485	123
4	41:14.415	132
5	41:15.461	127
7	41:15.535	100
6	41:18.906	146
12	41:19.007	159
9	41:19.494	121
1	43:35.033	172
2	43:35.651	138
3	43:37.380	139
11	43:37.645	97
14	43:37.816	127
10	43:38.207	164
4	43:40.292	132
5	43:40.989	127
7	43:41.162	99
12	43:44.796	159
6	43:44.929	146
9	43:45.569	113
	45:51.906	
1	46:00.440	169
2	46:00.953	139
3	46:02.779	138
11	46:03.342	97
10	46:03.584	163
14	46:03.828	127
4	46:05.817	132
7	46:06.669	102
5	46:06.926	128
12	46:09.937	160
6	46:10.546	148
9	46:11.688	113
