N�	T� Transcurrido	Fuerza
202	1:10.009	123
206	1:22.525	171
1	2:30.546	168
12	2:31.625	158
11	2:35.697	93
101	2:36.138	158
52	2:52.043	85
75	2:53.109	167
107	2:54.311	128
106	2:55.160	142
105	2:58.093	110
108	2:58.699	121
201	3:09.307	126
208	3:10.105	169
207	3:14.542	165
203	3:25.220	162
210	3:40.352	167
202	3:50.363	130
206	4:08.037	169
1	5:00.943	166
12	5:01.027	159
11	5:06.041	96
101	5:06.515	158
75	5:35.268	166
52	5:36.779	79
105	5:39.243	107
107	5:45.422	133
106	5:45.600	141
208	5:47.192	162
108	5:47.835	122
201	5:49.454	126
207	5:51.556	164
203	6:04.994	163
210	6:21.973	166
202	6:30.688	121
206	6:53.777	168
1	7:30.938	165
12	7:31.322	158
11	7:36.548	94
101	7:36.823	160
75	8:15.157	166
105	8:19.412	108
52	8:20.669	80
208	8:23.452	163
207	8:28.677	164
201	8:29.749	125
106	8:36.646	141
107	8:36.994	128
108	8:39.473	123
203	8:46.012	162
210	9:02.135	168
202	9:11.012	129
206	9:39.330	172
1	10:01.062	166
12	10:01.301	159
11	10:06.957	93
101	10:07.119	159
75	10:55.827	167
208	10:59.241	167
105	11:00.213	111
207	11:04.914	163
52	11:05.020	86
201	11:09.990	125
107	11:28.027	131
106	11:28.099	142
203	11:28.471	162
108	11:30.535	123
210	11:42.413	168
202	11:51.223	131
206	12:24.784	171
1	12:31.384	168
12	12:32.178	158
101	12:37.254	159
11	12:37.402	96
208	13:35.387	160
75	13:36.022	168
105	13:40.394	107
207	13:41.116	166
52	13:49.757	81
201	13:50.242	125
203	14:09.210	162
107	14:17.637	133
106	14:18.765	142
108	14:21.779	124
210	14:23.283	167
202	14:31.215	131
1	15:01.614	168
12	15:02.527	158
101	15:07.567	159
11	15:07.936	97
206	15:09.929	171
208	16:12.156	161
75	16:16.682	167
207	16:17.431	164
105	16:20.742	108
201	16:30.817	124
52	16:33.340	80
203	16:50.264	161
210	17:04.197	168
107	17:08.860	134
106	17:10.004	141
202	17:11.902	130
108	17:13.076	124
1	17:32.038	168
12	17:33.025	158
101	17:37.789	159
11	17:37.974	96
206	17:56.129	168
208	18:48.459	161
207	18:53.910	163
75	18:56.955	168
105	19:00.679	110
201	19:11.390	125
52	19:17.830	82
203	19:31.144	161
210	19:45.873	166
202	19:52.429	129
107	19:59.797	132
106	20:00.873	141
1	20:02.221	168
12	20:02.941	159
108	20:03.232	123
101	20:07.976	160
11	20:08.489	91
206	20:42.414	169
208	21:24.336	166
207	21:30.773	165
75	21:37.945	168
105	21:41.157	107
201	21:51.860	123
52	22:02.569	94
203	22:12.156	162
210	22:26.807	167
1	22:32.384	169
202	22:32.702	124
12	22:33.311	158
101	22:38.113	160
11	22:39.064	96
106	22:50.706	143
107	22:50.747	133
108	22:54.131	123
206	23:28.556	170
208	24:00.496	161
207	24:07.756	165
75	24:18.156	166
105	24:21.936	108
201	24:32.297	124
52	24:46.562	80
203	24:53.167	161
1	25:02.553	168
12	25:03.692	158
210	25:07.978	168
101	25:08.300	160
11	25:09.361	93
202	25:12.908	126
107	25:42.398	132
106	25:43.098	141
108	25:45.601	122
206	26:14.719	169
208	26:36.726	162
207	26:44.154	164
75	26:58.335	168
105	27:02.380	109
201	27:12.662	126
52	27:31.303	81
1	27:32.715	169
12	27:33.686	159
203	27:34.686	162
101	27:38.734	160
11	27:39.362	95
210	27:48.810	168
202	27:53.200	131
107	28:32.807	132
106	28:34.414	141
108	28:36.214	122
206	29:00.071	170
208	29:13.284	161
207	29:20.795	164
75	29:39.127	168
105	29:42.967	109
201	29:53.061	124
	29:56.757	
1	30:02.739	172
12	30:03.648	158
101	30:08.713	159
11	30:09.772	97
203	30:14.362	164
52	30:15.589	81
210	30:29.340	167
202	30:33.424	133
107	31:24.630	133
106	31:25.521	141
108	31:26.590	123
206	31:45.682	170
208	31:49.399	161
207	31:57.025	165
75	32:19.030	167
105	32:23.464	107
201	32:33.464	124
