N�	T� Transcurrido	Fuerza
74	2:21.062	96
73	2:21.806	93
71	2:23.555	164
1	2:25.181	169
12	2:30.178	160
5	2:32.490	127
11	2:32.999	91
76	2:35.032	162
7	2:38.842	92
75	3:02.106	167
73	4:41.973	95
74	4:42.108	95
71	4:43.579	163
1	4:50.860	168
12	4:52.753	157
5	4:57.278	127
11	4:58.299	90
76	5:00.093	162
7	5:12.761	94
75	5:42.512	168
73	7:01.779	94
74	7:03.389	95
71	7:03.467	163
1	7:15.935	168
5	7:22.689	127
11	7:23.293	91
76	7:25.141	164
7	7:47.088	92
75	8:22.517	168
73	9:22.010	93
71	9:23.699	165
74	9:23.772	95
1	9:40.959	168
5	9:48.297	126
11	9:48.506	92
76	9:50.524	162
7	10:21.080	97
75	11:02.763	167
73	11:41.854	91
71	11:43.825	163
74	11:43.991	97
1	12:05.917	168
11	12:13.448	92
5	12:13.767	127
76	12:15.085	164
7	12:55.289	91
75	13:41.932	168
73	14:01.803	91
71	14:03.907	164
74	14:03.983	94
1	14:31.014	168
11	14:38.445	92
5	14:38.843	128
76	14:40.588	162
7	15:29.369	95
75	16:20.907	167
73	16:21.672	93
71	16:23.838	165
74	16:24.557	99
1	16:56.113	168
11	17:03.641	90
5	17:03.984	127
76	17:05.917	162
7	18:03.286	92
73	18:41.745	90
71	18:43.758	164
74	18:44.912	96
75	19:00.137	168
1	19:21.102	168
11	19:28.626	90
5	19:29.069	126
76	19:31.291	162
7	20:37.067	94
73	21:01.360	86
71	21:03.839	164
74	21:05.539	96
75	21:39.176	167
1	21:46.353	168
11	21:53.611	91
5	21:54.051	127
76	21:56.602	162
7	23:11.173	91
73	23:21.316	92
71	23:24.146	163
74	23:26.314	98
1	24:11.336	167
11	24:18.717	91
75	24:18.779	170
5	24:19.198	126
76	24:21.740	163
73	25:41.267	90
71	25:44.066	163
7	25:45.149	98
74	25:46.945	95
1	26:36.181	168
11	26:43.614	90
5	26:44.323	126
76	26:47.082	163
75	26:57.190	170
73	28:01.775	88
71	28:04.343	162
74	28:07.352	96
7	28:19.086	96
1	29:01.363	168
11	29:08.519	92
5	29:09.165	125
76	29:12.186	163
75	29:36.644	168
	30:03.822	
73	30:22.049	91
71	30:24.666	164
74	30:27.584	99
7	30:53.220	97
1	31:26.247	167
11	31:33.495	91
5	31:33.967	126
76	31:37.222	163
75	32:15.792	168
